"번호","k-아파트코드","k-아파트명","k-단지분류(아파트,주상복합등등)","kapt도로명주소","주소(시도)k-apt주소split","주소(시군구)","주소(읍면동)","나머지주소","주소(도로명)","주소(도로상세주소)","k-전화번호","k-팩스번호","단지소개기존clob","단지첨부파일","k-세대타입(분양형태)","k-관리방식","k-복도유형","k-난방방식","k-전체동수","k-전체세대수","k-건설사(시공사)","k-시행사","k-사용검사일-사용승인일","k-연면적","k-주거전용면적","k-관리비부과면적","k-전용면적별세대현황(60㎡이하)","k-전용면적별세대현황(60㎡~85㎡이하)","k-85㎡~135㎡이하","k-135㎡초과","k-홈페이지","k-등록일자","k-수정일자","고용보험관리번호","경비비관리형태","세대전기계약방법","청소비관리형태","건축면적","주차대수","기타/의무/임대/임의=1/2/3/4","단지승인일","사용허가여부","관리비 업로드","좌표X","좌표Y","단지신청일"
"526","A14319306","이튼타워리버3차","아파트","서울특별시 광진구 능동로 18","서울","광진구","자양동","","능동로","18","024613270","024613205","1215","FILE_000000000003167","분양","직영","계단식","개별난방","3","260","인정건설(주)","조합","2007-04-17 00:00:00.0","47928","26197","34534","0","169","47","","","","2022-04-05 05:49:11.0","20682672830","위탁","종합계약","위탁","3310.11","490","의무","2017-03-06 16:07:42.0","Y","N","127.0680706","37.5329945","2013-03-07 09:46:34.0"
"527","A14286104","번동한양","아파트","서울특별시 강북구 한천로109길 69","서울","강북구","번동","한양아파트","한천로109길","69","029852409","029811165","","","분양","위탁관리","계단식","개별난방","3","261","한양주택 (주)","번동한양아파트주택조합","1992-11-06 00:00:00.0","27489","22099","22099","0","261","0","","","","2022-04-05 07:41:20.0","21082621800","위탁","단일계약","위탁","0.00","0","의무","2019-01-29 13:56:44.0","Y","N","127.0417145","37.626473","2013-03-07 09:46:34.0"
"528","A13580002","개포우성8차","아파트","서울특별시 강남구 개포로 411","서울","강남구","개포동","우성8차아파트","개포로","411","025767421","0262047421","","","분양","위탁관리","혼합식","지역난방","3","261","우성건설","영동전화국 주택조합","1987-09-21 00:00:00.0","26746","20760","26746","0","261","0","","","","2022-04-05 16:59:55.0","12080033410","위탁","단일계약","직영","2852.52","138","의무","2016-01-04 16:15:06.0","Y","N","127.062288","37.48811","2013-03-07 09:46:34.0"
"529","A13006002","제기현대","아파트","서울특별시 동대문구 정릉천동로 90","서울","동대문구","제기동","892-66","정릉천동로","90","0262388256","0262388257","4","","분양","위탁관리","혼합식","개별난방","3","261","현대건설","제기동 한전재건축조합","1999-11-13 00:00:00.0","36918","20591","27534","92","49","120","","","","2022-04-05 05:56:02.0","90700123921","위탁","종합계약","위탁","384.19","303","의무","2017-02-22 17:37:01.0","Y","N","127.0357839","37.5799573","2013-03-07 09:46:34.0"
"530","A13684701","정릉중앙하이츠","아파트","서울특별시 성북구 보국문로32길 53","서울","성북구","정릉동","정릉중앙하이츠아파트","보국문로32길","53","029412698","029420988","","","분양","위탁관리","혼합식","개별난방","4","261","중앙건설(주)","정릉주공재건축아파트조합","1999-05-14 00:00:00.0","27770","19712","26211","135","90","36","","","","2022-04-05 07:02:54.0","907-00-27872-1","위탁","단일계약","위탁","0.00","210","의무","2015-11-19 15:48:22.0","Y","N","127.0020417","37.6198025","2013-03-07 09:46:40.0"
"531","A14287102","우이동성원아파트","아파트","서울특별시 강북구 삼양로 658","서울","강북구","우이동","성원아파트","삼양로","658","029085441","029030252","469","","분양","자치관리","계단식","개별난방","2","262","성원건설","한국과학기술원제4직장주택조합","1990-10-19 00:00:00.0","26616","21869","25686","0","262","0","","","","2022-04-05 07:46:17.0","21080008410","직영","종합계약","위탁","1954.94","161","의무","2015-11-20 09:36:11.0","Y","N","127.0138641","37.6618442","2013-03-07 09:46:40.0"
"532","A15805109","목동대림2차","아파트","서울특별시 양천구 목동동로12길 23","서울","양천구","목동","","목동동로12길","23","0226490682","0226527978","154","","분양","위탁관리","계단식","지역난방","2","262","대림산업","대림산업","1994-06-07 00:00:00.0","29448","22223","29448","0","262","0","","","","2022-04-05 11:57:02.0","60312674","직영","종합계약","위탁","1459.83","207","의무","2013-05-22 15:20:16.0","Y","N","126.8746806","37.523805","2013-03-07 09:46:40.0"
"533","A13509004","삼성한솔","아파트","서울특별시 강남구 학동로64길 7","서울","강남구","삼성동","한솔아파트","학동로64길","7","025166752","025166786","","","분양","위탁관리","복도식","개별난방","2","263","한솔건설","한솔건설","1998-11-16 00:00:00.0","38064","20737","27989","114","89","60","","","","2022-04-05 17:09:13.0","907-00-28592-1","직영","종합계약","직영","0.00","303","의무","2015-10-22 15:43:27.0","Y","N","127.0455212","37.5173908","2013-03-07 09:46:40.0"
"534","A14206305","번동기산그린","아파트","서울특별시 강북구 월계로37길 137","서울","강북구","번동","번동기산그린아파트","월계로37길","137","029822339","029832338","","","분양","위탁관리","혼합식","개별난방","2","263","(주)기산 기산번동 연합주택조합","(주)기산 기산번동 연합주택조합","2000-02-24 00:00:00.0","28945","18118","24205","158","104","1","","","","2022-04-05 07:42:38.0","210-82-617980","위탁","단일계약","위탁","1809.98","212","의무","2018-02-05 14:19:01.0","Y","N","127.0435775","37.6274606","2013-03-07 09:46:41.0"
"535","A15010602","양평동양","아파트","서울특별시 영등포구 양평로30가길 15","서울","영등포구","양평동6가","100","양평로30가길","15","0262654398","26764398","556","","분양","위탁관리","혼합식","개별난방","3","263","동양메이저(주)","벽산재건축주택조합","2000-08-05 00:00:00.0","34714","20880","27178","99","129","35","","","","2022-04-05 14:36:09.0","90700326251","직영","단일계약","위탁","2671.00","304","의무","2013-06-23 12:02:47.0","Y","N","126.8898114","37.5422865","2013-03-07 09:46:46.0"
"536","A13610004","정릉산장","아파트","서울특별시 성북구 보국문로 167","서울","성북구","정릉동","780","보국문로","167","029113610","029113610","","","분양","자치관리","복도식","개별난방","2","264","광산건설","광산건설","1977-12-29 00:00:00.0","20147","14782","18295","220","44","0","","","","2022-04-05 07:05:50.0","209-80-00725-0","직영","단일계약","직영","0.00","160","의무","2013-06-23 12:59:42.0","Y","N","127.0021957","37.6167473","2013-03-07 09:46:17.0"
"537","A13480803","길동현대아파트","아파트","서울특별시 강동구 천호대로 1231","서울","강동구","길동","470","천호대로","1231","024757876","0264850102","","","분양","위탁관리","혼합식","개별난방","2","264","현대","현대","1996-08-09 00:00:00.0","31094","19904","29806","100","164","0","","","","2022-04-05 18:52:08.0","212-80-01318-0","위탁","종합계약","위탁","0.00","264","의무","2016-05-31 10:37:37.0","Y","N","127.1473459","37.536591","2013-03-07 09:46:17.0"
"538","A13813005","가락우창","아파트","서울특별시 송파구 동남로24길 6","서울","송파구","오금동","164","동남로24길","6","024048772","024305886","","","분양","위탁관리","계단식","지역난방","4","264","(주)우창건설","(주)우창건설","1985-10-07 00:00:00.0","34030","27679","34030","0","72","192","","","","2022-04-05 18:31:04.0","21580001710","직영","단일계약","위탁","0.00","280","의무","1985-10-07 00:00:00.0","Y","N","127.136295","37.4995733","2013-03-07 09:46:17.0"
"539","A13286203","쌍문경남","아파트","서울특별시 도봉구 도봉로129길 45-12","서울","도봉구","쌍문동","경남아파트","도봉로129길","45-12","029003119","029003119","4","","분양","자치관리","복도식","개별난방","2","264","(주)성원주택","대우경남","1988-03-15 00:00:00.0","18166","12652","18166","240","24","0","","","","2022-04-05 07:48:25.0","21080003650","직영","종합계약","직영","1397.00","150","의무","2016-04-12 10:30:12.0","Y","N","127.0351564","37.6548109","2013-03-07 09:46:17.0"
"540","A13816002","가락동부센트레빌","아파트","서울특별시 송파구 송파대로32길 33","서울","송파구","가락동","95","송파대로32길","33","0220433162","0220433163","5","","분양","위탁관리","계단식","지역난방","5","264","동부건설","동부건설","2001-11-26 00:00:00.0","63270","34100","44625","0","0","135","","","","2022-04-05 18:13:15.0","601-82-61316-0","위탁+직영","종합계약","위탁","2651.32","536","의무","2001-11-26 00:00:00.0","Y","N","127.1162993","37.4978882","2013-03-07 09:46:17.0"
"541","A13787105","서초한빛삼성","아파트","서울특별시 서초구 서초대로40길 72","서울","서초구","서초동","1509-1","서초대로40길","72","025829998","0220550115","","","분양","위탁관리","혼합식","개별난방","2","264","삼성중공업","삼성중공업","1999-11-26 00:00:00.0","38077","23640","30876","84","0","180","","","","2022-04-05 16:33:22.0","907-00-31553-1","직영","단일계약","위탁","0.00","356","의무","2017-06-23 11:18:14.0","Y","N","127.0079656","37.487956","2013-03-07 09:46:17.0"
"542","A13402304","천호태영임대","아파트","서울특별시 강동구 천호대로 1055","서울","강동구","천호동","566","천호대로","1055","024867213","024867214","","","임대","위탁관리","복도식","개별난방","1","264","태영건설(주)","태영건설(주)","1999-11-21 00:00:00.0","16424","8649","16423","264","0","0","","http://happy.i-sh.co.kr/cms/main.do","","2022-04-05 19:03:48.0","212-80-02428-0","위탁","단일계약","위탁","0.00","101","임대","2013-11-21 11:12:04.0","Y","N","127.130007","37.5381545","2013-03-07 09:46:17.0"
"543","A13077703","휘경롯데1차","아파트","서울특별시 동대문구 망우로 95","서울","동대문구","휘경동","78","망우로","95","0222128991","0260851478","383","","분양","위탁관리","혼합식","개별난방","2","265","롯데건설(주)","롯데건설(주)","2000-08-25 00:00:00.0","36760","20509","27218","114","121","30","","","","2022-04-05 06:13:22.0","90700036601","직영","종합계약","위탁","1964.72","297","의무","2013-05-27 13:45:31.0","Y","N","127.0633712","37.5910981","2013-03-07 09:46:17.0"
"544","A15681802","사당현대아파트","아파트","서울특별시 동작구 사당로17길 111","서울","동작구","사당동","사당현대아파트","사당로17길","111","025946928","025946925","","","분양","자치관리","혼합식","개별난방","2","265","현대산업개발","현대산업개발","1991-04-24 00:00:00.0","28127","21088","27306","175","0","90","","","","2022-04-05 15:14:53.0","108-80-00311-0","직영","단일계약","직영","0.00","258","의무","2019-07-12 14:17:32.0","Y","N","126.9702379","37.4883008","2013-03-07 09:46:17.0"
"545","A15080501","한강아파트","아파트","서울특별시 영등포구 영신로57길 5","서울","영등포구","당산동4가","29","영신로57길","5","0226373637","0262653637","","","분양","위탁관리","혼합식","개별난방","2","265","서초건설","서초건설","1999-09-02 00:00:00.0","33622","19680","26084","111","154","0","","당산한강. apti. co. kr","","2022-04-05 14:16:39.0","907-00-06971-1","위탁","종합계약","위탁","0.00","283","의무","2013-05-27 13:45:25.0","Y","N","126.9023584","37.5280856","2013-03-07 09:46:17.0"
"546","A13184301","면목신성은하수","아파트","서울특별시 중랑구 중랑천로 43","서울","중랑구","면목동","1519","중랑천로","43","024321903","024321902","","","분양","위탁관리","혼합식","개별난방","2","266","신성","신성","1998-10-31 00:00:00.0","35383","19802","26809","153","56","57","","","","2022-04-05 06:21:53.0","20485103680","위탁","종합계약","위탁","0.00","282","의무","2013-05-09 16:05:00.0","Y","N","127.0729702","37.5889278","2013-03-07 09:46:17.0"
"547","A13985402","중계현대그린","아파트","서울특별시 노원구 중계로8길 39","서울","노원구","중계동","현대5차아파트","중계로8길","39","029353443","0262233443","","","분양","위탁관리","계단식","개별난방","3","268","현대산업개발","중랑지역 주택조합","1998-12-24 00:00:00.0","32098","22777","32098","0","268","0","","","","2022-04-05 09:20:55.0","90700040181","위탁","단일계약","위탁","3556.00","258","의무","1998-12-24 00:00:00.0","Y","N","127.0844122","37.6471623","2013-03-07 09:46:15.0"
"548","A15009604","문래현대1차","아파트","서울특별시 영등포구 문래로4길 20","서울","영등포구","문래동6가","현대아파트","문래로4길","20","0262657100","0226799449","","","분양","위탁관리","혼합식","개별난방","2","264","현대산업개발","한국주택은행조합주택","1986-12-30 00:00:00.0","25301","19176","24594","0","264","0","","www.okhomeapt.com","","2022-04-05 14:28:20.0","107-80-00055-0","직영","단일계약","위탁","0.00","210","의무","2016-04-19 16:25:36.0","Y","N","126.8828222","37.5195252","2013-03-07 09:46:15.0"
"549","A13381701","사근중앙하이츠","아파트","서울특별시 성동구 사근동길 67","서울","성동구","사근동","중앙하이츠아파트","사근동길","67","0222966725","0222966726","","","분양","위탁관리","복도식","개별난방","2","270","중앙건설","중앙건설","1989-09-12 00:00:00.0","25046","19400","25045","0","270","0","","","","2022-04-05 05:00:59.0","206-82-73524","직영","단일계약","직영","1898.79","137","의무","2016-04-27 13:34:04.0","Y","N","127.0485864","37.5618375","2013-03-07 09:46:15.0"
"550","A15384501","벽산타운3단지","아파트","서울특별시 금천구 탑골로 84","서울","금천구","시흥동","","탑골로","84","028914797","028917497","4","","분양","위탁관리","혼합식","개별난방","3","270","벽산건설","시흥2동재건축조합","1998-10-28 00:00:00.0","34641","21218","27851","124","100","46","","","","2022-04-05 13:53:15.0","907-00-16801-1","직영","종합계약","직영","2701.00","271","의무","2013-06-14 15:30:29.0","Y","N","126.9176126","37.4534029","2013-03-07 09:46:15.0"
"551","A15009605","문래현대6차아파트","아파트","서울특별시 영등포구 선유서로 31","서울","영등포구","문래동6가","55-1","선유서로","31","0226358529","0226334452","4","","분양","위탁관리","혼합식","개별난방","2","270","현대건설","현대건설","1997-07-18 00:00:00.0","32567","20111","25921","120","105","45","","moolraihyoondai6.apti.co.kr","","2022-04-05 14:28:00.0","90700286231","직영","종합계약","위탁","0.00","241","의무","2013-06-23 12:02:35.0","Y","N","126.8838267","37.5184364","2013-03-07 09:46:15.0"
"552","A15885306","신정쌍용","아파트","서울특별시 양천구 신목로 9","서울","양천구","신정동","","신목로","9","0226536727","0267386727","","FILE_000000000097648","분양","위탁관리","계단식","지역난방","2","270","쌍용건설","쌍용건설","1992-11-25 00:00:00.0","29990","22853","29990","0","270","0","","","","2022-04-05 11:26:21.0","11785117960","위탁","종합계약","위탁","29851.84","180","의무","2013-05-27 13:45:18.0","Y","N","126.8758354","37.5181035","2013-03-07 09:46:15.0"
"553","A14319203","자양현대5차","아파트","서울특별시 광진구 뚝섬로54길 74","서울","광진구","자양동","서울 광진구 자양동 642번지","뚝섬로54길","74","0234377171","0234377172","","","분양","위탁관리","혼합식","개별난방","3","270","현대(주)",".","1998-06-24 00:00:00.0","39206","21058","27883","108","116","46","","","","2022-04-05 05:45:03.0","207-80-01072","위탁","종합계약","위탁","0.00","278","의무","2018-12-28 14:50:49.0","Y","N","127.0782918","37.5286059","2013-03-07 09:46:15.0"
"554","A15083601","문래국화","아파트","서울특별시 영등포구 도림로 464","서울","영등포구","문래동3가","국화아파트","도림로","464","0226786643","26361115","4","","분양","위탁관리","계단식","개별난방","2","270","라이프주택","라이프주택","1983-12-19 00:00:00.0","32443","24906","29851","0","210","60","","","","2022-04-05 14:24:00.0","907-00-03712-1","위탁","단일계약","위탁","17794.00","255","의무","2016-04-14 13:52:27.0","Y","N","126.8927664","37.5163791","2013-03-07 09:46:15.0"
"555","A13510006","청담대림","아파트","서울특별시 강남구 학동로77길 27","서울","강남구","청담동","30-33.","학동로77길","27","0234426975","0262039618","","","분양","위탁관리","계단식","개별난방","4","271","대림산업","에코프렌드","2002-12-30 00:00:00.0","44038","27080","33444","0","152","119","","","","2022-04-05 17:04:06.0","","위탁","단일계약","위탁","0.00","1","의무","2013-06-23 14:26:04.0","Y","N","127.047858","37.5205103","2013-03-07 09:46:15.0"
"556","A13610301","정릉성원","아파트","서울특별시 성북구 정릉로21길 21","서울","성북구","정릉동","1019번지","정릉로21길","21","029180145","029180154","","","분양","위탁관리","혼합식","개별난방","2","271","성원건설","성원","2000-01-17 00:00:00.0","36325","20947","27966","126","109","36","","","","2022-04-05 07:07:07.0","90700315781","위탁","단일계약","위탁","0.00","293","의무","2018-02-28 09:17:20.0","Y","N","127.0083543","37.6065103","2013-03-07 09:46:15.0"
"557","A15003001","영등포두산위브","아파트","서울특별시 영등포구 신길로60나길 9","서울","영등포구","영등포동","649번지","신길로60나길","9","028418244","028448244","","","분양","위탁관리","계단식","개별난방","4","271","두산건설(주)","영등포제1구역 주택재개발조합","2004-10-15 00:00:00.0","38789","21651","27623","114","103","54","","","","2022-04-05 13:58:46.0","107-82-61885-0","위탁","종합계약","위탁","0.00","304","의무","2004-10-15 00:00:00.0","Y","N","126.912262","37.5143305","2013-03-07 09:46:15.0"
"558","A15601202","신대방한성","아파트","서울특별시 동작구 여의대방로10길 13","서울","동작구","신대방동","470-8 신대방한성아파트관리사무소","여의대방로10길","13","028492295","0262652295","","","분양","자치관리","계단식","개별난방","4","272","한성건설","한성건설","1995-02-18 00:00:00.0","33023","23172","29473","120","84","68","","","","2022-04-05 15:31:24.0","108-82-608030","직영","종합계약","위탁","0.00","1","의무","2016-04-27 11:18:58.0","Y","N","126.9149472","37.4956195","2013-03-07 09:46:15.0"
"559","A15606001","경동윈츠리버","아파트","서울특별시 동작구 노량진로32길 156","서울","동작구","본동","484번지","노량진로32길","156","028128656","0262938656","","","분양","위탁관리","계단식","개별난방","6","272","경동건설","경동건설","2004-12-30 00:00:00.0","34886","19986","24595","142","78","52","","","","2022-04-05 15:06:05.0","907-00-31603-1","위탁","단일계약","위탁","0.00","282","의무","2014-12-15 15:05:01.0","Y","N","126.9545986","37.5098847","2013-03-07 09:46:15.0"
"560","A15284305","구로새솔금호","아파트","서울특별시 구로구 공원로 35","서울","구로구","구로동","108-2","공원로","35","028598864","028649738","","","분양","위탁관리","혼합식","개별난방","1","272","금호건설","삼성주택조합외 8개조합","1996-07-01 00:00:00.0","34952","19641","27859","138","134","0","","www.intm.co.kr/구로새솔금호","","2022-04-05 13:07:55.0","90700293151","위탁","단일계약","위탁","0.00","224","의무","2013-06-23 11:28:23.0","Y","N","126.8900268","37.4999584","2013-03-07 09:46:15.0"
"561","A14320001","구의현대7단지","아파트","서울특별시 광진구 구의강변로3가길 39","서울","광진구","구의동","구의7단지현대아파트","구의강변로3가길","39","0222019771","0222019773","","","분양","위탁관리","혼합식","개별난방","3","273","(주)마이크로장","현대건설","1997-12-26 00:00:00.0","35455","19649","26788","142","131","0","","","","2022-04-05 05:33:17.0","20680012010","위탁","단일계약","위탁","0.00","282","의무","2018-03-02 17:47:47.0","Y","N","127.0909417","37.5368422","2013-03-07 09:46:15.0"
"562","A15786213","염창무학","아파트","서울특별시 강서구 양천로77길 45","서울","강서구","염창동","255","양천로77길","45","0267357287","0267417287","","","분양","위탁관리","혼합식","개별난방","5","273","무학건설","해촌연립재건축","1999-03-31 00:00:00.0","36820","20787","28482","135","102","36","","","","2022-04-05 12:17:16.0","907-00-23721-1","위탁","종합계약","위탁","0.00","0","의무","2013-06-23 10:52:14.0","Y","N","127.0144609","37.5464825","2013-03-07 09:46:15.0"
"563","A15283603","고척경남2차","아파트","서울특별시 구로구 고척로52길 21","서울","구로구","고척동","306번지","고척로52길","21","0226851122","0226851128","4","","분양","위탁관리","혼합식","개별난방","3","273","경남기업주식회사","신안아파트 재건축조합","1999-01-30 00:00:00.0","34250","19937","26376","113","160","0","","고척경남2차.ma-um.co.kr","","2022-04-05 13:22:32.0","11380015730","직영","단일계약","직영","2154.00","261","의무","2013-04-24 14:35:32.0","Y","N","126.8567573","37.5043308","2013-03-07 09:46:15.0"
"564","A13905301","월계서광","아파트","서울특별시 노원구 마들로1길 44","서울","노원구","월계동","서광아파트","마들로1길","44","029733315","029752463","","","분양","위탁관리","혼합식","개별난방","4","274","서광산업주식회사","서광산업주식회사","1994-10-21 00:00:00.0","26724","20142","26724","104","170","0","","월계서광.apti.co.kr","","2022-04-05 08:29:27.0","907-00-06794-1","위탁","종합계약","위탁","0.00","205","의무","2015-07-28 10:25:11.0","Y","N","127.0654107","37.6228503","2013-03-07 09:46:15.0"
"565","A13920001","상계우방","아파트","서울특별시 노원구 동일로230가길 15","서울","노원구","상계동","서울 노원구 상계1동 1295번지","동일로230가길","15","0233914484","029329470","","","분양","위탁관리","계단식","개별난방","3","274","주)우방","주)우방","2000-06-30 00:00:00.0","42404","25593","32493","56","129","54","","","","2022-04-05 08:55:07.0","21080026310","위탁","종합계약","위탁","0.00","375","의무","2013-06-23 12:39:48.0","Y","N","127.0568379","37.6719833","2013-03-07 09:46:15.0"
"566","A15805301","목동부영그린타운3차","주상복합","서울특별시 양천구 목동동로 411","서울","양천구","목동","","목동동로","411","0226490414","0226490415","4","","분양","위탁관리","복도식","지역난방","1","276","부영주택","부영주택","2000-11-24 00:00:00.0","88507","40991","49541","0","2","57","","","","2022-04-05 11:45:37.0","1995-0317998","위탁","종합계약","위탁","3741.76","435","의무","2000-11-24 00:00:00.0","Y","N","126.8822116","37.536731","2013-03-07 09:46:15.0"
"567","A13887702","풍납미성","아파트","서울특별시 송파구 풍성로 14","서울","송파구","풍납동","219번지","풍성로","14","024869071","0264789071","","","분양","위탁관리","혼합식","지역난방","4","275","라이프주택","라이프주택","1985-06-17 00:00:00.0","35922","28864","35922","0","55","220","","","","2022-04-05 18:02:54.0","199800693255","위탁","단일계약","위탁","0.00","311","의무","2015-07-29 14:30:54.0","Y","N","127.1137637","37.5341924","2013-03-07 09:46:15.0"
"568","A13920104","우림루미아트1.2단지","아파트","서울특별시 노원구 동일로230가길 71","서울","노원구","상계동","(상계동우림루미아트)","동일로230가길","71","029303443","029303447","","","분양","위탁관리","계단식","개별난방","3","275","우림건설","우림건설","2004-11-17 00:00:00.0","37332","23941","28963","0","248","27","","","","2022-04-05 09:15:39.0","217-82-60602-0","위탁","단일계약","위탁","0.00","1","의무","2016-11-24 11:07:33.0","Y","N","127.0561567","37.6745959","2013-03-07 09:46:15.0"
"569","A13509005","삼성래미안2차","아파트","서울특별시 강남구 선릉로130길 20","서울","강남구","삼성동","7-3","선릉로130길","20","025455512","025455613","4","","분양","위탁관리","계단식","지역난방","8","275","삼성","삼성","2007-05-25 00:00:00.0","63607","31922","40608","0","46","196","","","","2022-04-05 17:08:48.0","90700344931","위탁","종합계약","위탁","3476.44","484","의무","2013-06-23 14:26:00.0","Y","N","127.0434525","37.5161514","2013-03-07 09:46:16.0"
"571","A13584101","대치포스코더샵","아파트","서울특별시 강남구 삼성로 417","서울","강남구","대치동","대치포스코더샵아파트","삼성로","417","025662220","0234523764","","","분양","위탁관리","계단식","지역난방","4","276","포스코건설","동아1차재건축조합","2004-09-30 00:00:00.0","72319","41858","51829","0","0","0","","대치포스코더샵.apti.co.kr","","2022-04-05 17:18:38.0","90700072191","위탁","종합계약","위탁","0.00","655","의무","2016-05-18 16:34:05.0","Y","N","127.0571385","37.504007","2013-03-07 09:46:16.0"
"572","A15608002","동작금강KCC","아파트","서울특별시 동작구 동작대로39가길 55","서울","동작구","동작동","331번지","동작대로39가길","55","025915610","025915609","","","분양","위탁관리","계단식","개별난방","7","276","주)KCC건설","태화연립조합","2003-10-30 00:00:00.0","38394","23895","23895","21","223","32","","","","2022-04-05 15:12:55.0","90700069331","직영","종합계약","위탁","2252.03","329","의무","2016-05-23 11:30:56.0","Y","N","126.9784252","37.4940729","2013-03-07 09:46:16.0"
"573","A15805202","목동e-편한세상","아파트","서울특별시 양천구 목동중앙로7길 32","서울","양천구","목동","이편한세상","목동중앙로7길","32","0226534359","0226534360","","","분양","위탁관리","계단식","개별난방","8","276","(주)삼호","(주)테바건설","2006-07-05 00:00:00.0","63149","35724","42138","0","54","166","","","","2022-04-05 11:50:03.0","90700028931","위탁","종합계약","위탁","4545.91","542","의무","2006-07-05 00:00:00.0","Y","N","126.8711933","37.5394083","2013-03-07 09:46:16.0"
"574","A13611001","길음뉴타운4단지임대","아파트","서울특별시 성북구 길음로 118","서울","성북구","길음동","1281-1번지","길음로","118","029144003","029144007","","","임대","위탁관리","복도식","개별난방","1","276","대림산업(주)","sh공사","2005-04-20 00:00:00.0","19289","8321","8321","276","0","0","","","","2022-04-05 07:15:41.0","907-00-279241","위탁","단일계약","위탁","0.00","195","의무","2013-06-23 12:59:29.0","Y","N","127.0178235","37.6128244","2013-03-07 09:46:16.0"
"575","A13186905","신내라이프미성","아파트","서울특별시 중랑구 용마산로129나길 101","서울","중랑구","신내동","487","용마산로129나길","101","024366422","024326422","","","분양","위탁관리","복도식","개별난방","2","277","라이프건설","라이프건설","1992-04-24 00:00:00.0","26167","18077","19158","195","82","0","","","","2022-04-05 06:44:21.0","204-82-61696-0","위탁","단일계약","위탁","2396.91","234","의무","2013-06-21 17:45:33.0","Y","N","127.0990429","37.6032755","2013-03-07 09:46:16.0"
"576","A13385802","무학현대","아파트","서울특별시 성동구 무학봉길 49","서울","성동구","하왕십리동","992","무학봉길","49","0222927852","0222920234","4","","분양","위탁관리","계단식","개별난방","3","277","현대산업개발","현대산업개발","1996-03-15 00:00:00.0","30399","23428","23454","0","277","0","","","","2022-04-05 04:55:09.0","90700311721","직영","종합계약","위탁","2660.52","187","의무","2013-06-23 14:46:49.0","Y","N","127.0278817","37.5611615","2013-03-07 09:46:16.0"
"577","A13484003","성내현대","아파트","서울특별시 강동구 천호옛12길 27","서울","강동구","성내동","30-2","천호옛12길","27","024747092","024746788","","","분양","위탁관리","복도식","개별난방","2","277","현대산업개발(주)","현대산업개발주식회사","1987-12-12 00:00:00.0","25854","18947","25854","169","108","0","","","","2022-04-05 19:02:12.0","90700081171","위탁","종합계약","위탁","0.00","22","의무","2013-06-23 14:38:57.0","Y","N","127.1265528","37.5352413","2013-03-07 09:46:16.0"
"578","A15106001","봉천신봉","아파트","서울특별시 관악구 양녕로6나길 18","서울","관악구","봉천동","1705","양녕로6나길","18","028765020","028765070","","","임대+분양","위탁관리","복도식","개별난방","2","277","(주)국제종합토건","SH공사","1999-05-11 00:00:00.0","20729","12869","20729","277","0","0","","sinbong.aptgate.co.kr","","2022-04-05 15:31:54.0","90700168071","직영","종합계약","직영","0.00","146","기타","2013-06-23 11:46:10.0","Y","N","126.9496234","37.4850226","2013-03-07 09:46:16.0"
"579","A15786314","염창태영송화","아파트","서울특별시 강서구 공항대로61길 60","서울","강서구","염창동","270-1","공항대로61길","60","0267352202","0267352203","","","분양","위탁관리","혼합식","개별난방","4","277","태영건설(주)","성원재건축조합","1999-11-11 00:00:00.0","38657","21605","28867","142","81","54","","apt270.com","","2022-04-05 12:10:22.0","907-00-03510-1","위탁","종합계약","위탁","2022.72","307","의무","2013-06-23 10:52:06.0","Y","N","126.8672037","37.553393","2013-03-07 09:46:16.0"
"580","A15882010","목동삼익","주상복합","","서울","양천구","목동","목동삼익아파트관리사무소","","","0226443247","0263473247","","","분양","자치관리","혼합식","지역난방","3","277","삼익건설","삼익주택목동상 재건축조합","1997-06-28 00:00:00.0","48913","22371","31031","118","97","62","","","","2022-04-05 11:56:21.0","11782602960","직영","종합계약","위탁","0.00","263","의무","2018-11-19 16:08:21.0","Y","N","126.8766127","37.5228287","2013-03-07 09:46:16.0"
"581","A12281702","갈현현대1차","아파트","서울특별시 은평구 갈현로33길 24","서울","은평구","갈현동","537번지","갈현로33길","24","023820027","023530427","","","분양","자치관리","혼합식","개별난방","2","278","현대산업개발","현대산업개발(주)","1997-05-08 00:00:00.0","35370","21523","28648","134","77","67","","","","2022-04-05 09:51:08.0","1118001150","직영","종합계약","직영","2661.67","286","의무","2013-05-03 17:37:49.0","Y","N","126.9142876","37.6221584","2013-03-07 09:46:16.0"
"582","A15681104","대방2차현대","아파트","서울특별시 동작구 알마타길 58","서울","동작구","대방동","506","알마타길","58","028136424","028136424","","","분양","위탁관리","혼합식","개별난방","5","278","현대건설","주택조합","1999-12-09 00:00:00.0","37876","23134","30147","134","84","38","","hydae2.apti.co.kr","","2022-04-05 15:23:36.0","10880010380","위탁","단일계약","위탁","2454.97","348","의무","2019-02-08 14:01:22.0","Y","N","126.9312764","37.5108264","2013-03-07 09:46:16.0"
